Key;Type;Desc;English;Vietnamese [vi]
Block/TemperancePainting;Text;;Temperance painting@Snow, scientists and a purpose!;Tranh Temperance@Nom cũng hay ho.
Block/TemperancePlant;Text;;Temperance plant@A decorative plant from Temperance.;Cây Temperance@Vật trang trí đến từ Temperance.
Block/TemperanceRug;Text;;Temperance rug@A simple rug most commonly found in igloos.;Thảm Temperance@Một tấm thảm đơn giản thường thấy nhất trong lều tuyết.
Block/TicTacToe;Text;;Tic-tac-toe@A fun game to play with a friend.;Cờ ca-rô@Một trò chơi thú vị để chơi với bạn bè.
Block/TikiPoleComplete;Text;;Tiki pole@Tall, colorful and majestic.;Tượng Tiki@Dùng để trang trí.
Block/TikiPolePiece;Text;;Tiki piece@It seems lonely by itself.;Một mảnh Tiki@Trông có vẻ cô đơn.
Block/ToyRobot;Text;;Toy robot@A mechanical little friend.;Rô-bốt đồ chơi@Một người bạn nhỏ cơ khí.
Block/ToyRobot_Gold;Text;;Golden toy robot@There is no battery inside, yet its eyes glow...;Rô-bốt đồ chơi bằng vàng@Không có pin bên trong, nhưng đôi mắt của nó phát sáng... (clgt?)
Block/Trashcan;Text;;Trashcan@Throw your trash in here instead of the ocean.;Thùng rác@Bỏ rác vào đây, thay vì ném xuống biển.
Block/Upgrade_Thatch;Text;;Replace with thatch@;Thay thế bằng tranh@
Block/Upgrade_Tier3;Text;;Replace with solid wood@;Thay thế bằng gỗ kiên cố@
Block/Upgrade_Wood;Text;;Replace with wood@;Thay thế bằng gỗ@
Block/UtopiaBottle;Text;;Utopia bottles@Decorative bottles from Utopia.;Chai Utopia@Decorative bottles from Utopia.
Block/UtopiaDecoration;Text;;Utopia decoration@Hand carved and crafted by people on Utopia.;Vật trang trí Utopia@Được chạm khắc và chế tác thủ công bởi những người trên Utopia.
Block/UtopiaDreamCatcher;Text;;Utopia dream catcher@Protects all your dreams from evil.;Máy bắt giấc mơ Utopia@Bảo vệ tất cả những giấc mơ của bạn khỏi cái ác.
Block/UtopiaHerb;Text;;Utopia herbs@Herbs for your kitchen.;Thảo mộc Utopia@Thảo mộc cho nhà bếp của bạn.
Block/UtopiaLightBottle;Text;;Utopia light bottle@A decorative light bottle from Utopia.;Chai ánh sáng Utopia@Một chai đèn trang trí từ Utopia.
Block/UtopiaPlant;Text;;Utopia plant@A decorative plant from Utopia.;Cây Utopia@Cây trang trí đến từ Utopia.
Block/Wall_Slope_Thatch;Text;;Triangular thatch wall@Fills triangular holes.;Tường tranh tam giác@Lấp đầy các lỗ hình tam giác.
Block/Wall_Slope_Tier3;Text;;Triangular solid wooden wall@Fills triangular holes.;Tường gỗ kiên cố tam giác@Lấp đầy các lỗ hình tam giác.
Block/Wall_Slope_Wood;Text;;Triangular wooden wall@Fills triangular holes.;Tường gỗ tam giác@Lấp đầy các lỗ hình tam giác.
Block/Wall_Thatch;Text;;Thatch wall@Provides support for additional floors.;Tường tranh@Dùng đê xây dựng.
Block/Wall_Tier3;Text;;Solid wooden wall@Provides support for additional floors.;Tường gỗ kiên cố@Dùng đê xây dựng.
Block/Wall_VSlope_Thatch;Text;;Pyramid thatch wall@Fills pyramid holes.;Tường tranh kim tự tháp@Lấp đầy các lỗ hình kim tự tháp.
Block/Wall_VSlope_Tier3;Text;;Pyramid solid wooden wall@Fills pyramid holes.;Tường gỗ kiên cố kim tự tháp@Lấp đầy các lỗ hình kim tự tháp.
Block/Wall_VSlope_Wood;Text;;Pyramid wooden wall@Fills pyramid holes.;Tường gỗ kim tự tháp@Lấp đầy các lỗ hình kim tự tháp.
Block/Wall_Wood;Text;;Wooden wall@Provides support for additional floors.;Tường gỗ@Dùng để xây dựng.
Block/Wardrobe;Text;;Wardrobe@Lets you change the colour of your clothes.;Tủ đồ@Dùng để thay đổi màu sắc cho trang phục của bạn.
Block/WaterTank;Text;;Water tank@Can be connected with waterpipes!;Thùng chứa nước@Có thể dùng với ống dẫn nước.
Block/WavingCat;Text;;Lucky cat@Might bring you some happiness.;Mèo thần tài@Có lẽ sẽ mang lại cho bạn chút niềm vui.
Block/WindTurbine;Text;;Wind turbine@Charges batteries with wind power.;Tua-bin gió@Sạc pin với năng lượng gió.
Block/Window_Thatch;Text;;Thatch window@Provides support for additional floors.;Cửa sổ tranh@Dùng để xây dựng.
Block/Window_Thatch_Half;Text;;Half thatch window@Provides support for additional floors.;Cửa sổ tranh nhỏ@Dùng để xây dựng.
Block/Window_Tier3;Text;;Solid wooden window@Provides support for additional floors.;Cửa sổ gỗ kiên cố@Dùng để xây dựng.
Block/Window_Tier3_Half;Text;;Solid half wooden window@Provides support for additional floors.;Cửa sổ gỗ kiên cố nhỏ@Dùng để xây dựng.
Block/Window_Wood;Text;;Wooden window@Provides support for additional floors.;Cửa sổ gỗ@Dùng để xây dựng.
Block/Window_Wood_Half;Text;;Half wooden window@Provides support for additional floors.;Cửa sổ gỗ nhỏ@Dùng để xây dựng.
Block/WineGoblet;Text;;Wine goblet@Suits kings and queens!;Ly rượu@Dành cho Vua và Hoàng Hậu!
Block/WorldGlobe;Text;;World globe@A very non flat object.;Quả địa cầu@Một vật thể rất không phẳng.
Block/ZiplineBase;Text;;Zipline@Place rope between these to ride the zipline.;Zipline@Đặt dây giữa những thứ này để đi zipline.
Character/Female;Text;;Female;Nữ
Character/Male;Text;;Male;Nam
Character/Name;Text;;Character name;Tên nhân vật
Character/Outfit;Text;;Outfit;Trang phục
Character/Title;Text;;Character;Nhân vật
Controls/Action 1;Text;;Action 1;Hành động 1
Controls/Action 2;Text;;Action 2;Hành động 2
Controls/AltKey;Text;;Alt.Key;Phím Phụ
Controls/AutoRun;Text;;Auto run;Tự động chạy
Controls/BlockPick;Text;;Block pick;Chọn khối
Controls/Cancel;Text;;Cancel;Huỷ
Controls/Chat;Text;;Open chat;Mở khung chat
Controls/ChatNextMessage;Text;;Next message;Tin nhắn kế tiếp
Controls/ChatPreviousMessage;Text;;Previous message;Tin nhắn trước
Controls/ColorPick;Text;;Color pick;Chọn màu
Controls/Crouch;Text;;Crouch;Ngồi
Controls/DropItem;Text;;Drop item;Thả vật phẩm
Controls/GameInfo;Text;;GameInfo;Thông tin trò chơi
Controls/Hotbar;Text;;Hotbar;Hotbar
Controls/Interact;Text;;Interact;Tương tác
Controls/Inventory;Text;;Inventory;Túi đồ
Controls/InvertMouseY;Text;;Invert mouse up/down;Đảo ngược chuột lên/xuống
Controls/Jump;Text;;Jump;Nhảy
Controls/Key;Text;;Key;Phím
Controls/Keybinds;Text;;Keybinds;Tên hành động
Controls/Mirror;Text;;Mirror;Mirror
Controls/MouseSensitivity;Text;;Mouse Sensitivity;Tốc độ chuột
Controls/PaintOneSide;Text;;Paint one side;Sơn một mặt
Controls/ResetKeybinds;Text;;Reset Keybinds;Đặt lại phím mặc định
Controls/Rotate;Text;;Rotate;Xoay
Controls/SortStorage;Text;;Sort items into storage;Xếp đồ trong rương
Controls/Sprint;Text;;Sprint;Chạy nhanh
Controls/StopNotebookVoice;Text;;Stop playing note;Dừng phát ghi chú
Controls/StrafeLeft;Text;;Strafe left;Qua trái
Controls/StrafeRight;Text;;Strafe right;Qua phải
Controls/SwimDown;Text;;Swim down;Lặn xuống
Controls/ToggleNotebook;Text;;Hide/Show notebook;Ẩn/Hiện sổ tay
Controls/TogglePaintSide;Text;;Toggle single sided painting;Đổi kiểu sơn
Controls/ToggleRun;Text;;Toggle sprint;Bấm để chạy nhanh
Controls/ToggleThirdPerson;Text;;Toggle third person mode;Chuyển sang góc nhìn thứ 3
Controls/ToggleUI;Text;;Hide/Show UI;Ẩn/Hiện  UI
Controls/WalkBackward;Text;;Walk backward;Đi xuống
Controls/WalkForward;Text;;Walk forward;Đi lên
Crafting/Decorations;Text;;Decorations;Đồ trang trí
Crafting/Equipment;Text;;Equipment;Trang Thiết bị
Crafting/FoodWater;Text;;Food/Water;Thức ăn/Nước uống
Crafting/Navigation;Text;;Navigation;Điều hướng bè
Crafting/Other;Text;;Other;Khác
Crafting/Resources;Text;;Resources;Tài nguyên
Crafting/Tools;Text;;Tools;Công cụ
Crafting/Weapons;Text;;Weapons;Vũ khí
CraftingSub/Anchors;Text;;Anchors;Mỏ neo
CraftingSub/Arrows;Text;;Projectiles;Đạn
CraftingSub/Axes;Text;;Axes;Rìu
CraftingSub/Backpacks;Text;;Backpacks;Ba lô
CraftingSub/Batteries;Text;;Batteries;Pin
CraftingSub/BatteryCharger;Text;;Batter chargers;Bộ sạc pin
CraftingSub/Beds;Text;;Beds;Giường
CraftingSub/BiofuelRefiners;Text;;Biofuel refiners;Máy lọc
CraftingSub/Bookpiles;Text;;Bookpiles;Đống sách
CraftingSub/Bottles;Text;;Bottles;Chai
CraftingSub/BowCategory;Text;;Bow and Arrow;Cung và Tên
CraftingSub/Candlesticks;Text;;Candlesticks;Chân nến
CraftingSub/Clocks;Text;;Clocks;Đồng Hồ
CraftingSub/Containers;Text;;Containers;Đồ đựng
CraftingSub/CookingTable;Text;;Cooking tables;Bàn nấu ăn
CraftingSub/Cropplots;Text;;Cropplots;Đất trồng cây
CraftingSub/Cropplots2;Text;;Cropplots;Đất trồng cây
CraftingSub/Cupboards;Text;;Cupboards;Tủ
CraftingSub/Curtains;Text;;Curtains;Rèm
CraftingSub/DevPainting;Text;;Developer paintings;Tranh của nhà phát triển
CraftingSub/Figurines;Text;;Animals;Động vật
CraftingSub/FishingRod;Text;;Fishing rods;Cần câu
CraftingSub/Flowers;Text;;Flowers;Hoa
CraftingSub/Grills;Text;;Grills;Bếp nướng
CraftingSub/Hats;Text;;Hats;Mũ
CraftingSub/HeadLights;Text;;Head lights;Đèn treo đầu
CraftingSub/Heads;Text;;Heads;Heads
CraftingSub/Healing;Text;;Healing;Thuốc Trị Thương
CraftingSub/Hooks;Text;;Hooks;Móc
CraftingSub/ItemNets;Text;;Collection nets;Lưới gom rác
CraftingSub/Lanterns;Text;;Lanterns;Đèn
CraftingSub/LeatherArmor;Text;;Leather armor;Áo giáp da
CraftingSub/Lights;Text;;Lights;Đèn điện
CraftingSub/Music;Text;;Music;Nhạc
CraftingSub/NetGunCategory;Text;;Net launcher;Súng bắn lưới
CraftingSub/Painting;Text;;Painting;Công cụ Sơn
CraftingSub/Paintings;Text;;Paintings;Những bức tranh
CraftingSub/Pipes;Text;;Pipes;Ống
CraftingSub/Purifiers;Text;;Purifiers;Máy lọc
CraftingSub/RedbeetPaintings;Text;;Redbeet paintings;Tranh củ cải đỏ
CraftingSub/Rugs;Text;;Rugs;Thảm
CraftingSub/Scarecrows;Text;;Scarecrows;Bù nhìn
CraftingSub/Seating;Text;;Seating;Ghế
CraftingSub/Seed_Flower;Text;;Flower seeds;Hạt giống hoa
CraftingSub/Seeds;Text;;Seeds;Hạt giống
CraftingSub/Seeds_Tree;Text;;Tree seeds;Hạt giống cây
CraftingSub/Shelves;Text;;Shelves;Kệ
CraftingSub/Shovels;Text;;Shovels;Xẻng
CraftingSub/Smelters;Text;;Smelters;Lò luyện kim
CraftingSub/Spears;Text;;Spears;Giáo
CraftingSub/Storages;Text;;Storages;Rương
CraftingSub/Tables;Text;;Tables;Bàn
CraftingSub/Tableware;Text;;Tableware;Dụng cụ ăn
CraftingSub/TangaroaPaintings;Text;;Tangaroa paintings;Tranh Tangaroa
CraftingSub/TangaroaPlants;Text;;Tangaroa plants;Cây Tangaroa
CraftingSub/Tanks;Text;;Tanks;Thùng chứa
CraftingSub/Temperance;Text;;Temperance;Temperance
CraftingSub/Tiki;Text;;Tiki pieces;Mảnh Tiki
CraftingSub/Toys;Text;;Toys;Đồ chơi
CraftingSub/Trader;Text;;Trading post;Trạm giao dịch
CraftingSub/TrophyBoards;Text;;Trophy boards;Bảng danh hiệu
CraftingSub/Utopia;Text;;Utopia;Utopia
CraftingSub/Weapons;Text;;Weapons;Vũ khí
CraftingSub/ZiplineTools;Text;;Zipline tools;Công cụ Zipline
DeathMenu/FindBed;Text;;Find a bed;Tìm giường
DeathMenu/Incapacitated;Text;;Incapacitated;Bị ngất
DeathMenu/InventoryLoss;Text;;Lose 2/3 of inventory;Mất 2/3 đồ
DeathMenu/Rescue;Text;;Waiting for rescue;Đang chờ được cứu
DeathMenu/Respawn;Text;;Surrender and respawn;Bỏ cuộc và Hồi sinh
Difficulty;Text;;Game mode;Độ khó
Difficulty/Creative;Text;;Creative;Sáng tạo
Difficulty/Creative_Description;Text;;Unlimited supplies and health, allowing you to focus less on survival and more on building.;Bất cmn tử, để bạn tập trung việc xây dựng, không cần quan tâm đến sống chết (GÀ VL!)
Difficulty/Easy;Text;;Easy;Dễ
Difficulty/Easy_Description;Text;;Easier to maintain hunger and thirst. Inventory is not lost when respawning.;Hạn chế bị đói, khát. Vật phẩm trong người sẽ không bị mất khi chết.
Difficulty/Hardcore;Text;;Hard;Khó
Difficulty/Hardcore_Description;Text;;You cannot respawn without the help of a friend.;Cần phải có bạn bè cứu nếu lỡ bị hẹo.
Difficulty/Normal;Text;;Normal;Thường
Difficulty/Normal_Description;Text;;Average difficulty for the average player.;Dành cho những người chơi thích sự cân bằng.
Difficulty/Peaceful;Text;;Peaceful;Hoà Bình
Difficulty/Peaceful_Description;Text;;A more relaxed version of Raft where enemies are no threat.;Tất cả đều là bạn, không ai làm hại bạn.
Fonts/CalibriTMP;TextMeshPFont;;calibrib SDF;calibrib SDF
Fonts/Calibrib;Font;;calibrib;calibrib
Fonts/ChineseRocks;Font;;ChineseRocks;ChineseRocks
Fonts/monorama-medium;TextMeshPFont;;monorama-medium SDF;monorama-medium SDF
Fonts/tt_marks_rough_bold;TextMeshPFont;;tt_marks_rough_bold SDF;tt_marks_rough_bold SDF
Game/;Text;;;""""
Game/Balboa/RelayStationsActive;Text;;{[ItemX]} relay stations active;{[ItemX]} trạm chuyển tiếp hoạt động
Game/BuildMenu;Text;;Hold for more parts;Bấm giữ để chọn loại khác
Game/Buy;Text;;Buy;Mua
Game/Cable/StartDragging;Text;;Start dragging cable;Bắt đầu kéo cáp
Game/Cable/StopDragging;Text;;Stop dragging cable;Dừng kéo cáp
Game/CantSleepDay;Text;;Can't fall asleep during daytime;Không thể ngủ vào ban ngày
Game/CantSleepPlayers;Text;;All players must be sleeping;Tất cả người chơi phải cùng ngủ
Game/Carry;Text;;Carry {[IncapacitatedPlayer]};Vác {[IncapacitatedPlayer]}
Game/CarryAnimal;Text;;Carry;Vác
Game/ClawMachine/PlayerInArea;Text;;"Error
Evacuate personnel from the crane area";"Lỗi
Sơ tán nhân viên khỏi khu vực cần cẩu"
Game/ClawMachine/Ready;Text;;System is operational;Hệ thống đang hoạt động
Game/Close;Text;;Close;Đóng
Game/CollectItemCount;Text;;Collect {[ItemCount]} items;Thu thập {[ItemCount]} vật phẩm
Game/ColorMenu;Text;;Hold for more colors;Giữ để chọn màu
Game/ColorMenu/MoreColors;Text;;Hold for more colors;Giữ để chọn màu
Game/ColorMenu/PaintOneSide;Text;;Toggle single sided painting;Bật vẽ một mặt
Game/ControlledViaEngineControls;Text;;Controlled by engine controls;Điều khiển bằng bộ điều khiển động cơ
Game/CookingToBig;Text;;This does not fit here;Trông có vẻ không vừa
Game/CoolingChallenge/Error;Text;;Control rods stuck, manual insertion required!;Thanh điều khiển bị kẹt, cần phải chèn thủ công!
Game/CoolingChallenge/InsertRods;Text;;Insert control rods;Chèn thanh điều khiển
Game/CoolingChallenge/Success;Text;;Cooling process initiated;Bắt đầu quá trình làm mát
Game/CoolingChallenge/ValvesShut;Text;;Control rods in place. Cooling process is ready!;Đã gắn thanh điều khiển. Quá trình làm mát đã sẵn sàng!
Game/Craft;Text;;Craft;Chế tạo
Game/Cupboard;Text;;Cupboard;Tủ
Game/DaysSurvived;Text;;Days survived;Số ngày sống sót
Game/DoorLockedOneWay;Text;;Door is locked from the other side;Cửa bị khóa từ phía bên kia
Game/DoorLockedOneWay2;Text;;Door is locked from inside;Cửa bị khóa từ bên trong
Game/Drink;Text;;Drink;Uống
Game/DropAnchor;Text;;Drop anchor;Thả neo
Game/DropAnimal;Text;;Stop carrying;Bỏ xuống
Game/DropX;Text;;Drop {[ItemX]};Thả {[ItemX]}
Game/Eat;Text;;Eat;Ăn
Game/ExplosiveBarrel;Text;;Explosive barrel;Thùng thuốc nổ
Game/FillSaltWater;Text;;Fill with saltwater;Lấy nước biển
Game/FillWater;Text;;Fill with freshwater;Lấy nước ngọt
Game/Food;Text;;Food;Đồ ăn
Game/FriendlyFire;Text;;Friendly fire?;Bắn đồng đội?
Game/Harvest;Text;;Harvest;Thu hoạch
Game/HazmatSuit;Text;;Equip hazmat suit;Trang bị đồ chống phóng xạ
Game/Health;Text;;Health;Máu
Game/HoldToPickupX;Text;;Hold to pick up {[ItemX]};Giữ để nhặt {[ItemX]}
Game/InStock;Text;;In stock: {[ItemX]};Trong kho còn: {[ItemX]}
Game/InsertCogwheel;Text;;Insert cogwheel;Chèn bánh răng
Game/Keypad/Fail;Text;;Error;Lỗi
Game/Keypad/Success;Text;;Success;Thành công
Game/LaunchFirework;Text;;Shoot firework;Bắn pháo hoa
Game/Learn;Text;;Learn;Học
Game/Learned;Text;;Learned;Đã học
Game/MotorWheel/ChangeDirection;Text;;Change direction;Đổi hướng
Game/MotorWheel/TurnOff;Text;;Turn off engine;Tắt động cơ
